municipality,municipality_id,district,district_id,project_number,project_id,project_name,year,typology,sale_rate,lable,shape_Length,shape_Area
Abu Dhabi City,41,Al Reem Island,57,2016/377771,1017,Meera,2021,Apartment / Duplex,11002.000000000000000,11k-12k,393.652019648464886,7716.816182303680762
Abu Dhabi City,41,Al Reem Island,57,2016/377771,1017,Meera,2022,Apartment / Duplex,10976.000000000000000,10k-12k,393.652019648464886,7716.816182303680762
Abu Dhabi City,41,Al Reem Island,57,2016/377771,1017,Meera,2023,Apartment / Duplex,11123.000000000000000,10k-12k,393.652019648464886,7716.816182303680762
Abu Dhabi City,41,Al Reem Island,57,2016/377771,1017,Meera,2024,Apartment / Duplex,11534.000000000000000,11k-12k,393.652019648464886,7716.816182303680762
Abu Dhabi City,41,Al Reem Island,57,2016/377771,1017,Meera,2025,Apartment / Duplex,13537.000000000000000,12k-15k,393.652019648464886,7716.816182303680762
Abu Dhabi City,41,Yas Island,1330,2016/261732,1008,YAS ACRES-Precinct3,2019,Villa / Townhouse,10624.000000000000000,10k-11k,1885.667512266410540,157187.780688845959958
Abu Dhabi City,41,Yas Island,1330,2016/261732,1008,YAS ACRES-Precinct3,2020,Villa / Townhouse,10408.000000000000000,10k-11k,1885.667512266410540,157187.780688845959958
Abu Dhabi City,41,Yas Island,1330,2016/261732,1008,YAS ACRES-Precinct3,2021,Villa / Townhouse,10520.000000000000000,10k-11k,1885.667512266410540,157187.780688845959958
Abu Dhabi City,41,Yas Island,1330,2016/261732,1008,YAS ACRES-Precinct3,2022,Villa / Townhouse,12673.000000000000000,11k-14k,1885.667512266410540,157187.780688845959958
Abu Dhabi City,41,Yas Island,1330,2016/261732,1008,YAS ACRES-Precinct3,2023,Villa / Townhouse,13003.000000000000000,11k-15k,1885.667512266410540,157187.780688845959958
Abu Dhabi City,41,Yas Island,1330,2016/261732,1008,YAS ACRES-Precinct3,2024,Villa / Townhouse,13728.000000000000000,13k-14k,1885.667512266410540,157187.780688845959958
Abu Dhabi City,41,Yas Island,1330,2016/261732,1008,YAS ACRES-Precinct3,2025,Villa / Townhouse,14484.000000000000000,14k-15k,1885.667512266410540,157187.780688845959958
Abu Dhabi City,41,Yas Island,1330,2016/179574,1007,YAS Acres- Precinct7,2019,Villa / Townhouse,11267.000000000000000,11k-12k,2567.184884424713800,141052.836376528342953
Abu Dhabi City,41,Yas Island,1330,2016/179574,1007,YAS Acres- Precinct7,2020,Villa / Townhouse,11688.000000000000000,10k-13k,2567.184884424713800,141052.836376528342953
Abu Dhabi City,41,Yas Island,1330,2016/179574,1007,YAS Acres- Precinct7,2023,Villa / Townhouse,12407.000000000000000,12k-13k,2567.184884424713800,141052.836376528342953
Abu Dhabi City,41,Yas Island,1330,2016/179574,1007,YAS Acres- Precinct7,2024,Villa / Townhouse,13617.000000000000000,13k-14k,2567.184884424713800,141052.836376528342953
Abu Dhabi City,41,Yas Island,1330,2016/179574,1007,YAS Acres- Precinct7,2025,Villa / Townhouse,14534.000000000000000,14k-15k,2567.184884424713800,141052.836376528342953
Abu Dhabi City,41,Yas Island,1330,2016/172918,1000,YAS ACRES-Precinct 1,2019,Villa / Townhouse,10723.000000000000000,9k-12k,1961.882293480008684,231947.188662939355709
Abu Dhabi City,41,Yas Island,1330,2016/172918,1000,YAS ACRES-Precinct 1,2020,Villa / Townhouse,10564.000000000000000,10k-11k,1961.882293480008684,231947.188662939355709
Abu Dhabi City,41,Yas Island,1330,2016/172918,1000,YAS ACRES-Precinct 1,2022,Villa / Townhouse,12134.000000000000000,11k-13k,1961.882293480008684,231947.188662939355709
Abu Dhabi City,41,Yas Island,1330,2016/172918,1000,YAS ACRES-Precinct 1,2023,Villa / Townhouse,13003.000000000000000,11k-15k,1961.882293480008684,231947.188662939355709
Abu Dhabi City,41,Yas Island,1330,2016/172918,1000,YAS ACRES-Precinct 1,2024,Villa / Townhouse,13738.000000000000000,12k-16k,1961.882293480008684,231947.188662939355709
Abu Dhabi City,41,Yas Island,1330,2016/172918,1000,YAS ACRES-Precinct 1,2025,Villa / Townhouse,14518.000000000000000,14k-15k,1961.882293480008684,231947.188662939355709
Abu Dhabi City,41,Al Reem Island,57,2025-08,,SEAMONT RESIDENCES,2025,Apartment / Duplex,27151.000000000000000,24k-30k,467.531188820870000,9821.621837491375118
