municipality,municipality_id,district,district_id,year,typology,layout,transaction_type,value,volume,shape_Length,shape_Area
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,studio,All types,172084584.909999996423721,270.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Other,Undefined,All types,356125185.000000000000000,11.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Plot,Undefined,All types,504118704.160000026226044,109.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,Undefined,All types,873002088.490000009536743,251.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,Undefined,All types,1733245977.650000095367432,371.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,1 bed,All types,1645961188.650000095367432,1278.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,1 bed,All types,1645961188.650000095367432,1278.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,2 beds,All types,2099426243.180000066757202,966.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,2 beds,All types,364314723.699999988079071,222.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,2 beds,All types,2463740966.880000114440918,1188.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,3 beds,All types,1061967597.809999942779541,344.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,3 beds,All types,1483640115.170000076293945,660.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,3 beds,All types,2545607712.980000019073486,1004.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,4 beds,All types,99942275.000000000000000,17.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,4 beds,All types,1634260856.529999971389771,442.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,4 beds,All types,1734203131.529999971389771,459.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,5 beds,All types,1399036148.450000047683716,247.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,5 beds,All types,1399036148.450000047683716,247.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,6+ beds,All types,593878930.000000000000000,51.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,6+ beds,All types,593878930.000000000000000,51.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Retail,line store,All types,2716000.000000000000000,2.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,line store,All types,2716000.000000000000000,2.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Apartment / Duplex,studio,All types,429179952.959999978542328,523.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,studio,All types,429179952.959999978542328,523.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Other,Undefined,All types,2634129465.320000171661377,40.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Plot,Undefined,All types,218015087.060000002384186,41.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Retail,Undefined,All types,35000000.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,Villa / Townhouse,Undefined,All types,469145648.050000011920929,139.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2024,All property types,Undefined,All types,3356290200.429999828338623,221.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,1 bed,All types,1247166643.730000019073486,1074.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,1 bed,All types,1247166643.730000019073486,1074.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,2 beds,All types,1274574884.259999990463257,692.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,2 beds,All types,313576975.639999985694885,175.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,2 beds,All types,1588151859.900000095367432,867.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,3 beds,All types,755366097.090000033378601,283.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,3 beds,All types,1312831514.259999990463257,537.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,3 beds,All types,2068197611.349999904632568,820.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,4 beds,All types,98196925.000000000000000,24.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,4 beds,All types,1459995732.549999952316284,353.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,4 beds,All types,1558192657.549999952316284,377.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,5 beds,All types,1426047489.259999990463257,151.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,5 beds,All types,1426047489.259999990463257,151.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,5+ beds,All types,4736780.000000000000000,3.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,5+ beds,All types,4736780.000000000000000,3.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Villa / Townhouse,6+ beds,All types,13030000.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,6+ beds,All types,13030000.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,Apartment / Duplex,studio,All types,368077238.199999988079071,503.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2023,All property types,studio,All types,368077238.199999988079071,503.000000000000000,23604.657354876042518,28738344.954181831330061
