plot_id,community_id,road_id,allocation_status,construction_status,plot_status,zone_tpss,service_status,area_calculated,development_type,landuse_code,elms_landuse_en,elms_landuse_ar,elms_allocation_en,elms_allocation_ar,sector_tpss,flat_id,gis_id,sector_plot_num,plot_number,community_name_eng,community_name_ara,dev_projectid,dev_far,devcode,max_gfa,municipality_name,district_id,district_name,dev_category,dev_description,elms_parentlanduse_e,elms_parentlanduse_a,created_user,created_date,last_edited_user,last_edited_date,estimatedarea,municipality_id,shape_Length,shape_Area
4380890,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.157271120000001,,,Bus Station without lay by,محطة حافلات بدون مواقف جانبية,,,YN7,,10004380890,YN7_P247,P247,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.201211669400834,19.169747606281263
4380960,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,4968.506724529999701,,,commercial,تجاري,,,YN7,,10004380960,YN7_C45,C45,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,299.865970063817485,4971.654097375047058
4380968,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,36461.355202240003564,,,Mixed Grades School,مدرسة متعددة المستويات,,,YN7,,10004380968,YN7_P181,P181,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,publicBuilding,مباني عامة,,,,,,41,789.418037023094030,36484.727385159669211
4380969,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,1578.281468729999915,,,Non-Recreational Open Space,مساحة مفتوحة لأغراض غير ترفيهية,,,YN7,,10004380969,YN7_P192,P192,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,publicOpenSpace,مناطق عامة,,,SDE,6/19/2024 13:08:42,,41,287.209450119059625,1579.269200946018145
4380972,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,1852.648726169999918,,,Non-Recreational Open Space,مساحة مفتوحة لأغراض غير ترفيهية,,,YN7,,10004380972,YN7_P225,P225,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,publicOpenSpace,مناطق عامة,,,,,,41,391.603637958244292,1853.828051923737803
4380974,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.192564010000002,,,Bus Station without lay by,محطة حافلات بدون مواقف جانبية,,,YN7,,10004380974,YN7_P241,P241,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.201006111596367,19.204802501766231
4380975,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.210887920000001,,,Bus Station without lay by,محطة حافلات بدون مواقف جانبية,,,YN7,,10004380975,YN7_P253,P253,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.227393795823762,19.223004001436014
4381024,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,6301.752808979999827,,,commercial,تجاري,,,YN7,,10004381024,YN7_C44,C44,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,commercial,تجاري,,,,,,41,320.270723774005319,6305.744872008234779
4381025,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,9876.553023390000817,,,Multi Residential Unit,وحدة سكنية متعددة,,,YN7,,10004381025,YN7_2976,2976,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,investment,استثماري,,,,,,41,419.507021831671807,9882.736223180250818
4381029,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,100.382835510000007,,,Meet Me Room,غرفة الالتقاء  / MMR,,,YN7,,10004381029,YN7_P263,P263,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,40.002861647869601,100.446452493365015
