year,municipality,municipality_id,district,district_id,community,community_id,project_id,project_number,project_name,typology,layout,rent_type,lower_rent_value,upper_rent_value,avg_rent_value,lable,shape_Length,shape_Area
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,3 beds,Renewal,184482.000000000000000,257432.000000000000000,218688.000000000000000,219k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,4 beds,All types,281550.000000000000000,355706.000000000000000,327660.000000000000000,328k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,4 beds,New,285000.000000000000000,350000.000000000000000,324153.000000000000000,324k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,4 beds,Renewal,283500.000000000000000,356495.000000000000000,323582.000000000000000,324k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,All types,232326.000000000000000,307853.000000000000000,273025.000000000000000,273k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,New,234292.500000000000000,301000.000000000000000,269800.500000000000000,270k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,All beds,Renewal,233991.000000000000000,306963.500000000000000,271135.000000000000000,271k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,All types,183102.000000000000000,260000.000000000000000,218390.000000000000000,218k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,New,183585.000000000000000,252000.000000000000000,215448.000000000000000,215k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,Renewal,184482.000000000000000,257432.000000000000000,218688.000000000000000,219k,1961.882293480008684,231947.188662939355709
